imageFileID,userResponse,timeTaken (Sec),Correct or incorrect response?,,,,
1,p,21.988196,TRUE,Average time spent reading each email:,25.87025708,Seconds,
2,p,31.112552,TRUE,Correct response rate,26,70.27027027,%
3,p,21.464975,TRUE,Incorrect response rate,11,29.72972973,%
4,r,13.780226,TRUE,,,,
5,r,9.934671,TRUE,Misses (phishing but responded real),6,,
6,r,25.681062,FALSE,False rejection (real but responded phishing),5,,
7,r,8.396392,FALSE,,,,
8,p,28.681705,TRUE,,,,
9,p,27.790168,TRUE,Total phishing email,17,,
10,r,14.773639,TRUE,Total genuine email,20,,
11,r,18.086204,TRUE,,,,
12,r,23.135371,TRUE,,,,
13,r,23.002121,FALSE,,,,
14,r,25.464395,TRUE,,,,
15,r,20.888628,TRUE,,,,
16,r,37.732035,TRUE,,,,
17,p,13.266838,FALSE,,,,
18,r,9.490172,FALSE,,,,
19,p,45.852605,TRUE,,,,
20,p,8.322217,FALSE,,,,
21,r,23.237945,TRUE,,,,
22,r,17.20632,TRUE,,,,
23,r,36.313924,TRUE,,,,
24,p,32.930864,TRUE,,,,
25,p,31.621686,TRUE,,,,
26,p,20.223762,FALSE,,,,
27,r,27.102492,TRUE,,,,
28,r,19.093679,TRUE,,,,
29,r,23.336864,FALSE,,,,
30,r,44.836473,TRUE,,,,
31,p,47.117859,TRUE,,,,
32,p,27.472699,FALSE,,,,
33,p,34.795665,FALSE,,,,
34,p,42.568157,TRUE,,,,
35,r,31.120092,TRUE,,,,
36,p,40.102634,TRUE,,,,
37,r,29.274225,FALSE,,,,
38,p,36.742337,Not included in analysis,,,,
39,p,28.102146,,,,,
40,r,58.768306,,,,,
