Reading, Time (micro), X Coord, Y Coord,
0,392996,0.295854,0.632006,
1,398495,0.295854,0.632006,
2,408150,0.295854,0.632006,
3,509040,0.286782,0.682679,
4,520082,0.320808,0.717654,
5,531801,0.331772,0.719584,
6,543307,0.339986,0.713302,
7,553783,0.346771,0.70109,
8,565351,0.35116,0.683393,
9,576564,0.356081,0.668189,
10,587184,0.36045,0.652242,
11,598692,0.364293,0.638954,
12,610051,0.367783,0.62614,
13,620374,0.371003,0.614318,
14,631856,0.373951,0.603391,
15,643241,0.376889,0.594445,
16,653589,0.379385,0.586417,
17,665174,0.381223,0.579204,
18,676472,0.382857,0.572182,
19,686855,0.384319,0.566012,
20,698631,0.385618,0.559903,
21,709978,0.386488,0.554239,
22,720333,0.387345,0.549303,
23,731922,0.388015,0.545378,
24,743232,0.388916,0.541408,
25,753699,0.389573,0.537444,
26,765285,0.390445,0.533668,
27,776427,0.391338,0.530774,
28,786954,0.392269,0.52793,
29,798501,0.392828,0.52536,
30,809846,0.393181,0.523117,
31,820214,0.393592,0.521063,
32,831791,0.394161,0.519009,
33,843218,0.394726,0.51707,
34,853530,0.395212,0.515512,
35,865125,0.395466,0.513852,
36,876481,0.395668,0.512015,
37,886994,0.395724,0.510355,
38,898479,0.395848,0.508713,
39,909812,0.396306,0.507403,
40,920147,0.396769,0.506266,
41,931802,0.396906,0.505189,
42,942991,0.396583,0.504021,
43,953509,0.396237,0.503038,
44,965109,0.396362,0.502498,
45,976362,0.396856,0.502183,
46,986702,0.397461,0.501799,
47,998361,0.397599,0.501602,
48,1009700,0.397526,0.50136,
49,1020167,0.397244,0.500821,
50,1031660,0.397013,0.499958,
51,1042956,0.39687,0.499301,
52,1053383,0.396899,0.498278,
53,1064997,0.397249,0.494161,
54,1076287,0.397244,0.486063,
55,1086625,0.39717,0.473802,
56,1098280,0.396962,0.462621,
57,1109459,0.39698,0.452157,
58,1119804,0.397031,0.44285,
59,1131728,0.396985,0.434107,
60,1142896,0.396605,0.427492,
61,1153151,0.396259,0.421829,
62,1165097,0.396012,0.417328,
63,1176295,0.396103,0.412577,
64,1186662,0.396195,0.408075,
65,1198325,0.396144,0.403463,
66,1209560,0.396039,0.399062,
67,1219806,0.395976,0.395204,
68,1231517,0.395859,0.391723,
69,1242942,0.395884,0.388606,
70,1253217,0.395834,0.38568,
71,1264869,0.395785,0.382863,
72,1276219,0.394932,0.379524,
73,1286527,0.391796,0.37484,
74,1298189,0.385616,0.369049,
75,1309561,0.37776,0.362678,
76,1319797,0.369996,0.356628,
77,1331564,0.362581,0.351089,
78,1342857,0.355841,0.346897,
79,1353044,0.349909,0.343404,
80,1364806,0.344761,0.340213,
81,1376094,0.34001,0.337091,
82,1386431,0.335503,0.334045,
83,1398155,0.331474,0.331472,
84,1409404,0.328121,0.328698,
85,1419805,0.325194,0.326186,
86,1431404,0.322073,0.323343,
87,1442570,0.319283,0.321006,
88,1452937,0.316748,0.318939,
89,1464649,0.314378,0.317298,
90,1476033,0.312268,0.315755,
91,1486298,0.310482,0.314359,
92,1497893,0.30892,0.312697,
93,1509359,0.307504,0.310874,
94,1519699,0.306165,0.309232,
95,1531212,0.305216,0.307982,
96,1542668,0.30431,0.307111,
97,1552898,0.303494,0.306243,
98,1564600,0.302744,0.305589,
99,1576103,0.302078,0.305061,
100,1586159,0.301342,0.304512,
101,1597992,0.300693,0.303869,
102,1609370,0.300099,0.303158,
103,1619625,0.299628,0.302757,
104,1631300,0.298763,0.302397,
105,1642576,0.29793,0.30208,
106,1652991,0.297116,0.301555,
107,1664506,0.296677,0.301023,
108,1675959,0.296286,0.300711,
109,1686122,0.295819,0.300397,
110,1697767,0.295158,0.300202,
111,1709110,0.294419,0.299887,
112,1719459,0.293942,0.299803,
113,1730967,0.293515,0.299575,
114,1742431,0.293215,0.299674,
115,1752612,0.292945,0.299774,
116,1764357,0.29297,0.300222,
117,1775816,0.292986,0.300296,
118,1786064,0.293,0.300296,
119,1797620,0.292917,0.300239,
120,1809086,0.29292,0.300543,
121,1819285,0.292886,0.300857,
122,1830934,0.292763,0.301063,
123,1842362,0.292656,0.301009,
124,1852691,0.292186,0.30087,
125,1864339,0.291235,0.300587,
126,1875608,0.289822,0.300289,
127,1885938,0.288501,0.299896,
128,1897551,0.287257,0.299477,
129,1908885,0.286185,0.299197,
130,1919148,0.285137,0.299163,
131,1930734,0.284194,0.299401,
132,1942280,0.283351,0.299746,
133,1952406,0.28269,0.300035,
134,1964095,0.281946,0.300073,
135,1975519,0.28112,0.300115,
136,1985825,0.280253,0.300023,
137,1997510,0.27962,0.299781,
138,2008712,0.279209,0.299283,
139,2019048,0.278908,0.298797,
140,2030636,0.278549,0.298658,
141,2042174,0.278089,0.298726,
142,2052438,0.27761,0.298844,
143,2064000,0.277266,0.29872,
144,2075456,0.276988,0.297983,
145,2085682,0.276692,0.297233,
146,2097255,0.276354,0.296871,
147,2108709,0.276072,0.29702,
148,2119034,0.275815,0.297233,
149,2130696,0.275672,0.297163,
150,2141991,0.275547,0.296814,
151,2152302,0.276215,0.296369,
152,2163936,0.279411,0.296018,
153,2175365,0.284755,0.296164,
154,2185565,0.291238,0.296478,
155,2197322,0.297073,0.296847,
156,2208700,0.302229,0.297101,
157,2219018,0.306929,0.297373,
158,2230645,0.311006,0.297664,
159,2241933,0.315016,0.297892,
160,2252138,0.318831,0.297933,
161,2263926,0.322724,0.297899,
162,2275198,0.326045,0.297754,
163,2285465,0.328939,0.297579,
164,2296634,0.330879,0.300383,
165,2306558,0.332714,0.304778,
166,2316791,0.315444,0.329446,
167,2433537,0.328288,0.376763,
168,2445174,0.357649,0.33928,
169,2456078,0.361444,0.33957,
170,2467797,0.366277,0.33895,
171,2478843,0.370557,0.338367,
172,2489264,0.374313,0.336553,
173,2501221,0.377208,0.334366,
174,2512277,0.379829,0.332427,
175,2522651,0.382245,0.331016,
176,2534438,0.384683,0.32969,
177,2545622,0.387099,0.328509,
178,2555995,0.389313,0.327297,
179,2567809,0.39093,0.325941,
180,2578820,0.392495,0.324442,
181,2589251,0.393902,0.323422,
182,2601180,0.39532,0.32281,
183,2612245,0.396277,0.32283,
184,2622664,0.397235,0.322851,
185,2634446,0.397969,0.322397,
186,2645554,0.398722,0.321361,
187,2655914,0.399506,0.320336,
188,2667684,0.400531,0.319897,
189,2678896,0.400979,0.319628,
190,2689302,0.399651,0.319145,
191,2700970,0.394459,0.318179,
192,2712153,0.386614,0.317124,
193,2722374,0.378152,0.316049,
194,2734164,0.371001,0.315379,
195,2745453,0.364561,0.31456,
196,2755754,0.358753,0.313521,
197,2767627,0.353413,0.312067,
198,2778656,0.348268,0.310858,
199,2789147,0.343666,0.309973,
200,2800808,0.339352,0.309595,
201,2812142,0.33571,0.309071,
202,2822310,0.332583,0.308501,
203,2834168,0.329722,0.307811,
