Reading, Time (micro), X Coord, Y Coord
0,351481,0.50963,0.609407
1,351744,0.509424,0.609108
2,351793,0.509249,0.608769
3,351809,0.509372,0.60813
4,351822,0.50865,0.608373
5,351836,0.50467,0.609646
6,351848,0.495762,0.61239
7,351862,0.485033,0.614759
8,351874,0.474617,0.616671
9,353770,0.465187,0.618122
10,364742,0.456115,0.62004
11,375136,0.447869,0.621801
12,387179,0.440919,0.623303
13,397919,0.434609,0.624143
14,409130,0.428964,0.625063
15,420536,0.423915,0.626244
16,431448,0.419314,0.627723
17,441762,0.415174,0.628958
18,453969,0.411782,0.629754
19,464476,0.409174,0.630282
20,475068,0.406816,0.631147
21,487016,0.404668,0.632342
22,497895,0.402235,0.633733
23,508859,0.400087,0.63481
24,520249,0.398157,0.636252
25,531155,0.396809,0.636886
26,541925,0.395572,0.637473
27,553860,0.394547,0.637597
28,564598,0.393624,0.637769
29,575274,0.392709,0.637958
30,586989,0.391535,0.637834
31,597898,0.390592,0.63794
32,608453,0.389713,0.637951
33,620272,0.388761,0.638113
34,631309,0.387559,0.638342
35,641576,0.386697,0.638576
36,653590,0.386145,0.638744
37,664336,0.385692,0.638988
38,675141,0.385087,0.639191
39,686720,0.384405,0.639451
40,697837,0.384017,0.639442
41,708539,0.383674,0.639324
42,720178,0.38362,0.63948
43,731041,0.383344,0.639801
44,741863,0.383041,0.640102
45,754028,0.382593,0.640089
46,764380,0.381936,0.639752
47,774900,0.381367,0.639606
48,786914,0.381574,0.638798
49,797756,0.383204,0.637567
50,808328,0.385988,0.635689
51,820351,0.388724,0.63398
52,831070,0.391146,0.632385
53,841702,0.393719,0.631007
54,853786,0.395919,0.62942
55,864374,0.39795,0.627711
56,874912,0.39958,0.626019
57,886779,0.401552,0.62503
58,897689,0.403472,0.624705
59,908477,0.405075,0.624729
60,920290,0.406324,0.624534
61,931154,0.407238,0.624449
62,941737,0.408278,0.624059
63,953542,0.409403,0.62351
64,964255,0.410665,0.62245
65,974728,0.411786,0.621473
66,986956,0.413032,0.621082
67,997541,0.414227,0.621302
68,1008236,0.415316,0.621393
69,1020140,0.415948,0.620975
70,1030897,0.416407,0.620315
71,1041496,0.416838,0.619812
72,1053470,0.417075,0.619671
73,1064175,0.417076,0.619397
74,1074910,0.417026,0.618906
75,1086632,0.418728,0.617184
76,1097510,0.422721,0.614498
77,1107910,0.429511,0.610667
78,1119850,0.435641,0.607127
79,1130827,0.440612,0.60404
80,1141480,0.445115,0.601627
81,1153428,0.449671,0.599345
82,1164203,0.454036,0.597425
83,1174755,0.457972,0.59529
84,1186710,0.46166,0.593311
85,1197292,0.4651,0.591142
86,1207902,0.468223,0.589089
87,1219910,0.470833,0.587332
88,1230834,0.473251,0.585804
89,1241189,0.47538,0.584267
90,1253204,0.477194,0.582369
91,1263901,0.478673,0.580092
92,1275300,0.480144,0.578021
93,1286589,0.481677,0.576019
94,1297362,0.483122,0.57478
95,1307853,0.484422,0.57397
96,1320139,0.485528,0.57368
97,1330592,0.48639,0.573286
98,1341990,0.487067,0.572796
99,1353034,0.48775,0.572243
100,1363962,0.488574,0.571493
101,1374510,0.489342,0.570688
102,1386559,0.489201,0.570027
103,1397565,0.488035,0.569358
104,1407865,0.485613,0.5687
105,1420541,0.482767,0.567903
106,1430477,0.480391,0.567314
107,1441397,0.478241,0.566844
108,1453318,0.476663,0.566338
109,1463779,0.475137,0.565613
110,1474592,0.473611,0.564787
111,1486334,0.472437,0.564145
112,1497010,0.47121,0.563336
113,1507663,0.470065,0.562652
114,1519541,0.468692,0.561976
115,1530527,0.467602,0.561785
116,1541153,0.46654,0.561667
117,1552965,0.465787,0.561394
118,1563967,0.465028,0.561092
119,1574359,0.46432,0.560575
120,1586191,0.463686,0.560596
121,1597054,0.463109,0.560673
122,1607526,0.462677,0.560915
123,1619603,0.462197,0.560828
124,1630491,0.461793,0.56044
125,1641023,0.461349,0.560066
126,1652862,0.460703,0.559784
127,1663617,0.460137,0.55995
128,1674308,0.459634,0.56031
129,1686248,0.459214,0.560721
130,1697173,0.4588,0.560693
131,1707518,0.458344,0.560352
132,1719238,0.458008,0.559622
133,1730493,0.457683,0.559068
134,1740768,0.457328,0.558609
135,1753008,0.456968,0.558236
136,1763820,0.456587,0.557755
137,1774317,0.456826,0.557288
138,1785786,0.457627,0.55723
139,1796926,0.458741,0.557243
140,1807486,0.459759,0.557179
141,1819510,0.46047,0.556757
142,1830192,0.46114,0.556202
143,1841055,0.461698,0.555648
144,1852623,0.462304,0.555037
145,1863458,0.462587,0.554542
146,1874004,0.462886,0.553913
147,1886093,0.46314,0.553237
148,1896829,0.463905,0.55272
149,1907524,0.464591,0.552296
150,1919542,0.465282,0.552227
151,1930270,0.465462,0.552114
152,1940678,0.465664,0.552282
153,1953010,0.465863,0.55231
154,1963851,0.466339,0.552445
155,1974098,0.466776,0.552279
156,1985788,0.467204,0.552095
157,1996737,0.467621,0.551937
158,2007632,0.467982,0.552072
159,2018902,0.46834,0.552197
160,2030434,0.46843,0.551976
161,2040795,0.468604,0.551514
162,2052448,0.468868,0.551012
163,2063389,0.469063,0.551129
164,2074185,0.469182,0.551325
165,2085537,0.469311,0.551028
166,2096829,0.469755,0.548924
167,2107307,0.470523,0.544019
168,2119034,0.47156,0.538063
169,2130084,0.472612,0.532277
170,2140632,0.473646,0.527519
171,2152266,0.47452,0.523142
172,2163244,0.47528,0.519119
173,2174301,0.475912,0.515531
174,2185551,0.476393,0.511965
175,2196443,0.476666,0.508453
176,2207490,0.476986,0.505168
177,2218876,0.477322,0.502955
178,2230021,0.477871,0.501319
179,2240583,0.478288,0.49977
180,2252196,0.478691,0.497986
181,2263474,0.479007,0.496572
182,2273896,0.479353,0.495337
183,2285659,0.4797,0.494184
184,2296501,0.480089,0.492814
185,2307184,0.480459,0.491785
186,2319141,0.481129,0.490945
187,2329960,0.481867,0.490508
188,2340291,0.48266,0.490002
189,2352178,0.482915,0.489494
190,2363116,0.482939,0.488781
191,2373991,0.48291,0.48816
192,2385545,0.482985,0.487885
193,2396647,0.48351,0.488021
194,2407975,0.484451,0.48848
195,2418759,0.485673,0.488799
196,2429849,0.48712,0.48927
197,2440312,0.488434,0.489617
198,2452500,0.489714,0.489883
199,2462985,0.490828,0.490077
200,2473981,0.491759,0.490103
201,2485421,0.492648,0.490153
202,2496274,0.493184,0.490218
203,2507540,0.493733,0.490476
204,2518811,0.494137,0.490871
205,2530030,0.494268,0.491404
206,2540361,0.49441,0.492059
207,2552137,0.494556,0.492678
208,2563465,0.495149,0.492841
209,2573870,0.495765,0.493104
210,2585392,0.496549,0.493366
211,2596528,0.496906,0.493906
212,2607156,0.497235,0.494361
213,2618844,0.497389,0.495117
214,2629653,0.49786,0.495538
215,2640506,0.498278,0.495846
216,2651990,0.498696,0.496011
217,2663110,0.499064,0.496175
218,2673576,0.499378,0.496358
219,2685289,0.499605,0.496286
220,2696209,0.499645,0.496376
221,2706997,0.499736,0.496403
222,2718656,0.499812,0.496574
223,2729477,0.500141,0.496731
224,2740227,0.500461,0.496752
225,2751876,0.500731,0.496811
226,2763331,0.500903,0.496902
227,2773830,0.501034,0.497149
228,2785112,0.501136,0.497412
229,2796276,0.501183,0.497511
230,2806931,0.501248,0.497631
231,2818577,0.501476,0.497513
232,2829643,0.501712,0.497242
233,2840583,0.501868,0.496903
234,2852014,0.501971,0.496781
235,2862829,0.502184,0.496766
236,2873347,0.502418,0.496704
237,2885021,0.502785,0.496766
238,2896505,0.503035,0.497064
239,2906665,0.503234,0.497448
240,2918508,0.503284,0.497416
241,2929656,0.503504,0.497373
242,2939994,0.503756,0.497355
