Reading, Time (micro), X Coord, Y Coord
0,389379,0.22715,0.657246
1,389601,0.22704,0.657398
2,389681,0.227098,0.657594
3,389732,0.226998,0.657761
4,389786,0.226621,0.657868
5,389825,0.226094,0.657706
6,389851,0.225635,0.657735
7,389875,0.225645,0.65783
8,389898,0.225755,0.658274
9,396583,0.225623,0.658669
10,407649,0.225209,0.659059
11,418073,0.222795,0.659941
12,430063,0.217238,0.660835
13,441093,0.209037,0.661982
14,451338,0.20083,0.662926
15,463386,0.193545,0.663881
16,474431,0.187192,0.664708
17,484765,0.181215,0.665171
18,496682,0.175377,0.665736
19,507485,0.169995,0.665864
20,518164,0.165225,0.666082
21,530078,0.161055,0.666322
22,541047,0.157483,0.667038
23,551544,0.154166,0.667558
24,563539,0.150786,0.668249
25,574240,0.147816,0.66822
26,584758,0.145221,0.668183
27,596560,0.142822,0.667774
28,607550,0.140248,0.667816
29,617921,0.137696,0.667515
30,629906,0.135403,0.667242
31,640805,0.133541,0.66691
32,651200,0.131922,0.666817
33,663082,0.130033,0.666707
34,674123,0.128093,0.666597
35,684356,0.126033,0.666522
36,696469,0.124244,0.666374
37,707316,0.122704,0.666016
38,717831,0.121321,0.665463
39,729800,0.120787,0.665009
40,740599,0.122678,0.664009
41,751083,0.126852,0.662804
42,763010,0.132875,0.661385
43,774055,0.137326,0.660451
44,784264,0.141272,0.659809
45,796314,0.144414,0.659399
46,807276,0.147186,0.659187
47,817652,0.149816,0.658751
48,829713,0.152344,0.657708
49,840694,0.154701,0.656454
50,851839,0.156812,0.655359
51,862818,0.158987,0.654844
52,873641,0.160937,0.654047
53,884304,0.162616,0.65313
54,896233,0.164151,0.651738
55,907268,0.165712,0.650795
56,917630,0.167151,0.649722
57,929513,0.168334,0.64844
58,940644,0.16956,0.647501
59,950822,0.170746,0.646966
60,962807,0.17204,0.646999
61,973816,0.172983,0.647136
62,984257,0.173799,0.647272
63,996239,0.174479,0.647429
64,1007219,0.175483,0.647418
65,1017520,0.176445,0.647097
66,1029480,0.177515,0.646332
67,1040529,0.17817,0.645354
68,1050765,0.178807,0.644579
69,1062746,0.179094,0.644167
70,1073793,0.179214,0.643836
71,1084101,0.179309,0.643748
72,1096119,0.179444,0.643516
73,1106956,0.180062,0.642924
74,1117446,0.180658,0.642287
75,1129439,0.181519,0.64211
76,1140382,0.180851,0.642057
77,1150674,0.177942,0.64146
78,1162762,0.16985,0.639814
79,1173815,0.159883,0.638136
80,1184122,0.149802,0.636568
81,1196125,0.141534,0.635326
82,1207100,0.133734,0.634409
83,1217520,0.12705,0.633484
84,1229402,0.121188,0.632197
85,1240277,0.116,0.630301
86,1250853,0.111213,0.628523
87,1262841,0.106899,0.627149
88,1273694,0.103122,0.626115
89,1283991,0.0997864,0.625126
90,1296021,0.0964434,0.624019
91,1306922,0.0937286,0.623144
92,1317223,0.0910526,0.622421
93,1329354,0.0886531,0.622041
94,1340135,0.0865877,0.621451
95,1350547,0.0847706,0.621083
96,1362695,0.0834356,0.620607
97,1373446,0.0816999,0.620542
98,1383987,0.0800792,0.620472
99,1396093,0.0785113,0.620655
100,1406826,0.0773572,0.620657
101,1417328,0.0763871,0.620435
102,1429411,0.0753049,0.620352
103,1440154,0.0743998,0.620291
104,1450647,0.07366,0.620406
105,1462610,0.0733061,0.620004
106,1473344,0.0724313,0.619825
107,1483806,0.0708991,0.619953
108,1495858,0.067888,0.621346
109,1506929,0.0641026,0.623025
110,1517171,0.0603621,0.624622
111,1529302,0.0572018,0.625605
112,1540136,0.0545977,0.626502
113,1550561,0.0521985,0.627511
114,1562657,0.049715,0.628381
115,1573388,0.0473093,0.629486
116,1583787,0.0452195,0.630336
117,1595879,0.0433023,0.631047
118,1606899,0.0416231,0.631578
119,1617066,0.0399266,0.632362
120,1629186,0.0380958,0.633248
121,1640010,0.0364769,0.633369
122,1650380,0.035014,0.632986
123,1662474,0.0338343,0.632605
124,1673263,0.0326483,0.633056
125,1683738,0.0315395,0.633575
126,1695883,0.0304232,0.634228
127,1706518,0.0294927,0.634566
128,1717256,0.028538,0.634999
129,1729096,0.0278937,0.635202
130,1739947,0.0271861,0.635291
131,1750507,0.0266057,0.635146
132,1762410,0.0260463,0.634949
133,1773297,0.0255687,0.634448
134,1783778,0.0251658,0.633991
135,1795722,0.0248865,0.633542
136,1806592,0.0244759,0.633679
137,1816842,0.024047,0.633941
138,1828960,0.0236885,0.634063
139,1839827,0.023381,0.633785
140,1850280,0.0230522,0.633629
141,1862285,0.0227698,0.63411
142,1873179,0.0225554,0.634758
143,1883665,0.0223035,0.635292
144,1895594,0.0220394,0.635273
145,1906481,0.0217885,0.635354
146,1917043,0.0217117,0.635629
147,1928954,0.0216641,0.63607
148,1939699,0.0217902,0.636454
149,1950115,0.021798,0.636812
150,1962201,0.0218089,0.637186
151,1973002,0.0237533,0.637179
152,1983316,0.0325527,0.636143
153,1995536,0.0614988,0.632836
154,2006364,0.11682,0.628156
155,2016844,0.193084,0.623555
156,2028918,0.282971,0.621219
157,2039908,0.369864,0.619097
158,2050240,0.441213,0.617535
159,2062111,0.495082,0.615698
160,2072977,0.536585,0.614131
161,2084176,0.568711,0.612768
162,2095354,0.593413,0.611444
163,2106343,0.612987,0.610601
164,2116742,0.628592,0.609829
165,2128786,0.641944,0.609394
166,2139675,0.652052,0.609021
167,2150153,0.660188,0.608687
168,2161751,0.666744,0.608645
169,2172769,0.676148,0.608152
170,2182379,0.686162,0.607673
171,2193701,0.69803,0.60524
172,3505900,1.02458,0.162719
173,3515669,1.02204,0.159263
174,3527611,0.89707,0.19139
175,3538517,0.870118,0.18985
176,3548923,0.831805,0.189679
177,3560870,0.764007,0.191665
178,3571824,0.680719,0.196315
179,3582369,0.608885,0.201592
180,3594383,0.551605,0.207101
181,3605355,0.506425,0.212388
182,3615545,0.471604,0.216788
183,3627647,0.444459,0.221436
184,3638572,0.423401,0.225893
185,3648944,0.406412,0.230193
186,3660933,0.39325,0.233061
187,3671912,0.381919,0.235595
188,3682280,0.372756,0.237414
189,3694241,0.364071,0.239679
190,3705303,0.357216,0.241345
191,3715673,0.351323,0.242851
192,3727578,0.346703,0.243746
193,3738690,0.343082,0.244923
194,3748871,0.339868,0.246116
195,3760854,0.336986,0.247132
196,3772526,0.33404,0.247594
197,3782170,0.331538,0.248192
198,3794205,0.329354,0.249034
199,3805078,0.324948,0.25099
200,3815694,0.318703,0.253325
201,3827621,0.310147,0.255822
202,3838419,0.302525,0.258125
203,3848900,0.296029,0.260253
204,3860888,0.290533,0.262268
205,3871756,0.28633,0.263923
206,3882190,0.28245,0.265687
207,3894107,0.278904,0.267579
208,3905104,0.27561,0.269382
209,3915503,0.273069,0.270742
210,3927458,0.270899,0.272056
211,3938389,0.268835,0.273756
212,3948776,0.266824,0.275368
213,3960855,0.265158,0.276834
214,3971763,0.263721,0.277706
215,3982171,0.262548,0.278825
216,3994158,0.261438,0.279556
217,4005065,0.260522,0.280624
218,4015291,0.259564,0.281488
219,4027148,0.258767,0.282632
220,4038152,0.258026,0.283554
221,4048735,0.257412,0.284296
222,4060484,0.256946,0.285171
223,4071603,0.256312,0.285911
224,4082865,0.255749,0.28664
225,4093905,0.253758,0.28767
226,4104865,0.250868,0.288602
227,4115340,0.246945,0.28944
228,4127315,0.243484,0.290126
229,4138471,0.240694,0.290859
230,4148573,0.238274,0.291776
231,4161090,0.23617,0.292383
232,4171644,0.234057,0.292924
233,4181960,0.23206,0.29309
234,4193910,0.230603,0.293709
235,4205000,0.229263,0.294794
236,4215311,0.22816,0.296104
237,4227227,0.226862,0.297074
238,4238105,0.225642,0.297804
239,4248620,0.22448,0.298492
240,4260564,0.223598,0.299164
241,4271424,0.222391,0.299372
242,4281971,0.221256,0.299588
243,4293885,0.22026,0.299571
244,4304989,0.219743,0.300031
245,4315099,0.219361,0.300202
246,4327249,0.218998,0.300513
247,4337973,0.218746,0.300656
248,4348566,0.218401,0.301046
249,4360347,0.217996,0.301875
250,4371461,0.217518,0.302773
251,4381787,0.217213,0.303592
252,4393768,0.216899,0.303953
253,4404841,0.216709,0.304795
254,4415039,0.216395,0.305592
255,4427117,0.216164,0.306231
256,4438041,0.215777,0.306623
257,4448435,0.215548,0.306982
258,4460352,0.215295,0.307327
259,4471287,0.215071,0.307584
260,4481646,0.214836,0.307968
261,4493737,0.214455,0.308291
262,4504587,0.213982,0.30834
263,4515032,0.213548,0.308505
264,4527031,0.213229,0.308426
265,4537896,0.213087,0.308354
266,4548456,0.213052,0.308321
267,4560445,0.213088,0.308592
268,4571255,0.213068,0.308732
269,4581661,0.213042,0.309071
270,4593568,0.213291,0.309254
271,4604508,0.214165,0.309862
272,4614987,0.215191,0.310351
273,4626787,0.216319,0.311087
274,4637918,0.217225,0.31121
275,4648268,0.2181,0.311074
276,4660133,0.219004,0.310894
277,4671105,0.21971,0.310989
278,4681493,0.220455,0.311073
279,4693444,0.22137,0.311195
280,4704482,0.222185,0.311418
281,4714914,0.222898,0.311726
282,4726845,0.223244,0.31204
283,4737772,0.223575,0.312465
284,4748250,0.223852,0.31285
285,4760225,0.224384,0.313017
286,4771227,0.224895,0.31325
287,4781587,0.225426,0.313333
288,4793439,0.225646,0.313678
289,4804459,0.226019,0.313669
290,4814763,0.226327,0.313651
291,4826722,0.22671,0.313613
292,4837831,0.226836,0.31377
293,4848970,0.227025,0.314183
294,4860247,0.227247,0.3147
295,4871116,0.227598,0.315193
296,4881439,0.227776,0.31527
297,4893480,0.227886,0.315463
298,4904381,0.22778,0.315399
299,4914679,0.227717,0.315523
300,4926637,0.227969,0.315048
301,4937599,0.228111,0.31478
302,4948122,0.22889,0.313425
303,4960018,0.233118,0.306494
304,4970923,0.244805,0.288014
305,4981291,0.262956,0.262945
306,4993285,0.286018,0.233849
307,5004244,0.310429,0.206767
308,5014644,0.332215,0.182425
309,5026487,0.350801,0.162372
310,5037591,0.366521,0.14477
311,5048045,0.379909,0.129713
312,5059844,0.391244,0.115882
313,5070869,0.400847,0.10396
314,5081226,0.409009,0.0934955
315,5093112,0.416264,0.0850173
316,5104109,0.422311,0.0782117
317,5114625,0.42773,0.0724858
318,5126444,0.43282,0.0673127
319,5137513,0.437361,0.0623644
320,5147884,0.441416,0.0580311
321,5159851,0.44494,0.0537767
322,5170846,0.448244,0.0495469
323,5181226,0.451168,0.0456
324,5193247,0.453525,0.0421153
325,5204152,0.455863,0.038673
326,5214541,0.457979,0.0357947
327,5226447,0.459894,0.0332762
328,5237496,0.461295,0.0311871
329,5247771,0.462589,0.0294339
330,5259738,0.463742,0.0277993
331,5270722,0.465022,0.0266981
332,5281106,0.466128,0.0255813
333,5292954,0.467147,0.0244451
334,5303970,0.467934,0.0228203
335,5314327,0.468652,0.0215476
336,5326307,0.469358,0.0207687
337,5337348,0.469954,0.0201232
338,5347751,0.470535,0.0192647
339,5359564,0.47099,0.0180774
340,5370725,0.471529,0.0173775
341,5381018,0.472066,0.0166455
342,5392857,0.472654,0.0160269
343,5404052,0.473149,0.0151326
344,5414406,0.473531,0.0142915
345,5426079,0.473692,0.0136236
346,5437206,0.47399,0.0132888
347,5447759,0.474366,0.0131042
348,5459596,0.47479,0.0128009
349,5470700,0.475221,0.0127382
350,5480939,0.475531,0.0128262
351,5492880,0.475808,0.0130631
352,5504721,0.475933,0.0130911
353,5514176,0.476108,0.0132594
354,5526205,0.476335,0.0136106
355,5537333,0.476435,0.0138615
356,5547549,0.476444,0.0139801
357,5559599,0.476379,0.0138293
358,5570607,0.476403,0.0135679
359,5580837,0.476469,0.013296
360,5592869,0.476625,0.0130087
361,5603807,0.476865,0.0129991
362,5614198,0.477052,0.012888
363,5626112,0.477271,0.0132584
364,5637052,0.477545,0.0134509
365,5647512,0.477755,0.0136185
366,5659486,0.477868,0.0131379
367,5670504,0.478044,0.0125494
368,5680758,0.478319,0.0122615
369,5692711,0.478505,0.0121391
370,5703760,0.478721,0.0119948
371,5714186,0.478821,0.0118651
372,5726163,0.478914,0.0115091
373,5737115,0.478845,0.0111032
374,5747437,0.478843,0.0104763
375,5759526,0.478887,0.00985563
376,5771071,0.478751,0.00933764
377,5780787,0.478578,0.00898678
378,5792585,0.478557,0.00901507
379,5803715,0.478611,0.00894943
380,5814073,0.478753,0.0087777
381,5825996,0.479402,0.00836939
382,5836954,0.480641,0.00813104
383,5847311,0.482047,0.00811105
384,5859413,0.483175,0.00822362
385,5870300,0.484193,0.00848318
386,5880758,0.485174,0.00861685
387,5892630,0.486105,0.00867281
388,5903533,0.487,0.00863979
389,5914092,0.487798,0.00839236
390,5925953,0.488478,0.00831345
391,5936873,0.489052,0.00855954
392,5947320,0.48968,0.00877691
393,5959323,0.490284,0.00867469
394,5970212,0.490694,0.00813957
395,5980638,0.490948,0.00786226
396,5992419,0.491032,0.00780963
397,6003401,0.491458,0.00783922
398,6013932,0.492005,0.00770027
399,6025941,0.492519,0.00807042
400,6036860,0.49036,0.0118523
401,6047212,0.483907,0.0207416
402,6059279,0.466433,0.0430502
403,6070117,0.43807,0.079675
404,6080973,0.404253,0.122261
405,6092450,0.371538,0.163441
406,6103411,0.344188,0.197461
407,6113858,0.322158,0.224961
408,6125707,0.303841,0.248199
409,6136562,0.287859,0.268221
410,6147202,0.274305,0.286141
411,6159768,0.262593,0.301657
412,6170185,0.252744,0.313984
413,6180468,0.243997,0.323524
414,6192460,0.236003,0.331037
415,6203347,0.229302,0.337604
416,6213893,0.223744,0.343754
417,6225751,0.219414,0.348896
418,6236700,0.215238,0.353629
419,6247192,0.211522,0.357211
420,6259098,0.207876,0.360691
421,6270102,0.204643,0.363555
422,6280471,0.201504,0.366177
423,6292318,0.198843,0.368299
424,6303347,0.196233,0.370346
425,6313793,0.194078,0.372641
426,6325558,0.193133,0.375549
427,6336571,0.193487,0.378349
428,6347120,0.194662,0.380946
429,6358797,0.195579,0.382667
430,6369818,0.1964,0.383975
431,6380528,0.197272,0.385195
432,6392266,0.198359,0.386282
433,6402951,0.199216,0.387408
434,6413767,0.199877,0.38823
435,6425670,0.200284,0.389486
436,6436541,0.200753,0.39148
437,6446943,0.201074,0.393187
438,6458873,0.201299,0.394426
439,6469885,0.201559,0.395235
440,6480342,0.201902,0.396157
441,6492179,0.202499,0.396823
442,6503061,0.203024,0.396506
443,6513615,0.203473,0.396067
444,6525342,0.203832,0.395668
445,6536396,0.204114,0.395634
446,6547075,0.204244,0.395922
447,6558790,0.204106,0.396393
448,6569853,0.204239,0.397275
449,6580323,0.204445,0.397619
450,6591888,0.204583,0.39782
451,6603074,0.204643,0.397622
452,6613443,0.204696,0.397427
453,6625108,0.205628,0.401238
454,6635884,0.20677,0.408214
455,6645039,0.20902,0.424955
456,6656694,0.229777,0.57388
457,6793257,0.523641,1.54266
458,6804865,0.552396,1.6264
459,6815857,0.566967,1.70153
460,6827844,0.573311,1.76805
461,6838825,0.574337,1.83174
