imageFileID,userResponse,timeTaken
imageFileID,userResponse,timeTaken
1,p,21.988196
2,p,31.112552
3,p,21.464975
4,r,13.780226
5,r,09.934671
6,r,25.681062
7,r,08.396392
8,p,28.681705
9,p,27.790168
10,r,14.773639
11,r,18.086204
12,r,23.135371
13,r,23.002121
14,r,25.464395
15,r,20.888628
16,r,37.732035
17,p,13.266838
18,r,09.490172
19,p,45.852605
20,p,08.322217
21,r,23.237945
22,r,17.206320
23,r,36.313924
24,p,32.930864
25,p,31.621686
26,p,20.223762
27,r,27.102492
28,r,19.093679
29,r,23.336864
30,r,44.836473
31,p,47.117859
32,p,27.472699
33,p,34.795665
34,p,42.568157
35,r,31.120092
36,p,40.102634
37,r,29.274225
38,p,36.742337
39,p,28.102146
40,r,58.768306
