imageFileID,imageFileName,domain,userResponse,timeTaken (Sec),correctResponse?,,,,,,,,,
1,Scam4,finance,p,21.988196,TRUE,Average time spent reading each email:,25.87025708,Seconds,,,,,User responded phishing,User responded genuine
2,Scam17,logistics,p,31.112552,TRUE,Correct response rate,26,70.27027027,%,,,,,
3,Scam9,logistics,p,21.464975,TRUE,Incorrect response rate,11,29.72972973,%,,,Phishing present,64.71%,35.29%
4,Real3,others,r,13.780226,TRUE,,,,,,,,,
5,Real13,finance,r,9.934671,TRUE,Misses (phishing but responded real),6,0.352941176,,,,Phishing absent (genuine),25%,75%
6,Scam20/fig6,finance,r,25.681062,FALSE,False rejection (real but responded phishing),5,0.25,,,,,,
7,Scam15/fig7,finance,r,8.396392,FALSE,Hit (phishing and responded phishing),11,0.647058824,,,,,,
8,Scam6,finance,p,28.681705,TRUE,Correct rejection (genuine and responded genuine),15,0.75,,,,,,
9,Scam18,social media,p,27.790168,TRUE,,,,,,,,,
10,Real1,social media,r,14.773639,TRUE,,,,,,,,,
11,Real11,government,r,18.086204,TRUE,,,,,run with python2!!,,,,
12,Real7,finance,r,23.135371,TRUE,,,,,,,,,
13,Scam13/fig13,finance,r,23.002121,FALSE,,,,,,,,,
14,Real20,others,r,25.464395,TRUE,,,,,,,,,
15,Real17,logistics,r,20.888628,TRUE,,,,,,,,,
16,Real10,government,r,37.732035,TRUE,Total phishing email,17,,,,,,,
17,Real5fig17,finance,p,13.266838,FALSE,Total genuine email,20,,,,,,,
18,Scam2/fig18,logistics,r,9.490172,FALSE,,,,,,,,,
19,Scam11,finance,p,45.852605,TRUE,,,,,,,,,
20,Real8/20,government,p,8.322217,FALSE,,Number of stimuli,Correct response,%,Incorrect response,%,,,
21,Real15,social media,r,23.237945,TRUE,Finance,14,9,64.2857143,5,35.7142857,,,
22,Real18,social media,r,17.20632,TRUE,E-commerce/Logistics,8,6,75,2,25,,,
23,Real16,finance,r,36.313924,TRUE,Social Media,5,5,100,0,0,,,
24,Scam12,finance,p,32.930864,TRUE,Government,7,4,57.1428571,3,42.8571429,,,
25,Scam1,finance,p,31.621686,TRUE,Others (Uber and Translink),3,2,66.6666667,1,33.3333333,,,
26,Real6/fig26,finance,p,20.223762,FALSE,,,,,,,,,
27,Real19,logistics,r,27.102492,TRUE,,,,,,,,,
28,Real14,logistics,r,19.093679,TRUE,,,,,,,,,
29,Scam3/fig29,logistics,r,23.336864,FALSE,,,,,,,,,
30,Real9,government,r,44.836473,TRUE,,,,,,,,,
31,Scam10,logistics,p,47.117859,TRUE,,,,,,,,,
32,Real4/32,others,p,27.472699,FALSE,,,,,,,,,
33,Real12/fig33,government,p,34.795665,FALSE,,,,,,,,,
34,Scam8,government,p,42.568157,TRUE,,,,,,,,,
35,Real2,social media,r,31.120092,TRUE,,,,,,,,,
36,Scam5,finance,p,40.102634,TRUE,,,,,,,,,
37,Scam16/fig37,government,r,29.274225,FALSE,,,,,,,,,
38,Scam19,,p,36.742337,Not included in analysis,,,,,,,,,
39,Scam14,,p,28.102146,,,,,,,,,,
40,Scam7,,r,58.768306,,,,,,,,,,
